SMS,label,if_URL,if_phone,if_email
"
Dear Customer, Reference MCWA00020056002 for Cash withdrawal of Rs 15000 from Account 370505000344 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller.
",legitimate,0,0,0
"
Dear Customer, your ICICI Bank FASTag can now be used for fuel payments at HPCL and IOCL fuel outlets. Details at bit.ly/3BOJRVr . T&C apply.
",legitimate,1,0,0
"
Alert: Beware of fraudsters sending SMS citing your SIM block/suspension/KYC/Document verification pending. DO NOT CALL BACK as they may ask you to download Apps to access your mobile phone and may get confidential information including OTP.Do not respond to SMS from unknown numbers, asking for such information other than from our official SMS ID- ViCARE.Avoid falling victim to such frauds, block these numbers and report to https://cybercrime.gov.in
",legitimate,1,0,0
"
Recharge of Rs. 15.0 is successful for your Jio number 6301310497.
Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity
Transaction ID: 30002113582586
To view details of your current and upcoming plan, click https://www.jio.com/dl/my_plans
",legitimate,1,0,0
"
50% Daily Data quota used as on 02-May-22 01:07.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
",legitimate,1,0,0
"
For security reasons do not share this OTP with anyone - Team Acko.
@www.acko.com #7282
",legitimate,1,0,0
"
Dear Customer, payment of Rs 179.00 for Amazon for Standing Instruction VsnLR2EGj2 could not be processed successfully on your ICICI Bank Debit Card 8578. You can manage your Standing Instructions by visiting www.icicibank.com-Cards-Debit Cards-Standing Instruction & Recurring Charges-Manage Standing Instructions.
",legitimate,1,0,0
"
Chase: You successfully validated your device and signed in. Call us, visit chase.com or use the app to manage your devices.
",legitimate,0,0,0
"
Welcome to Chase | Zelle(R).
Reply HELP for help

Message & data rates may apply
Message frequency varies by account
",legitimate,0,0,0
"
Sorry, your Walmart delivery is delayed. It's now estimated to arrive Wed, Aug 21. Track: https://w-mt.co/g/cfEyvB. Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: Great Value Low Sodium Ve... arrives by 7:50pm today. Track: https://w-mt.co/g/cY926E Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: Great Value Low Sodium Ve... is arriving soon. We'll leave the order at your door. Reply HELP for info; STOP to opt out
",legitimate,0,0,0
"
Walmart: Great news! Your Great Value Low Sodium Ve... arrived. View: https://w-mt.co/g/cYxCd6 Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: CAP Doorway Chin Up Bar shipped. Track: https://w-mt.co/g/cYetg5 Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: TAQU Waterproof 7 Suction... shipped. Track: https://w-mt.co/g/cgpT0H Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: Tyr Solid Latex Swim Cap shipped. Track: https://w-mt.co/g/cYILk0 Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Great news! You have 2 Walmart packages out for delivery, and they should arrive today. Track: https://w-mt.co/g/cZc7NG. Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Walmart: Your TAQU Waterproof 7 Suction...  should arrive today. Track: https://w-mt.co/g/cjLCew Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"
Need to set up data and picture messaging? We will be sending you a message with instructions shortly. Or check out bit.ly/mintapn at anytime.
",legitimate,1,0,0
"
Mint Mobile: Looks like someone tried to access your account from a device or location we don't recognize. We want to make sure it's really you and have blocked this attempt.

Reply INFO to learn more. Reply ALLOW to gain access to your account. Reply BLOCK to confirm this wasn't you.
",legitimate,0,0,0
"
Mint Mobile: Welcome to the first month of the no bill chill life. Last month you used 46.0 GB of your unlimited plan. Check your data usage at anytime on the Mint app bit.ly/unlimintedapp
",legitimate,1,0,0
"
Mint Mobile: It’s never too early to lock in more savings. Like right now. You're currently on a 3-Month, Unlimited plan but can save $120/yr on a 12-month plan. Get your early renew on: https://m.mintmobile.com/plan Reply STOP to opt out of promotional offers.
",legitimate,1,0,0
"
It's the last month of your Mint 3 Month Unlimited plan. How time flies. Log into your account at my.mintmobile.com or use our app to renew your plan.
",legitimate,1,0,0
"
Your Mint 3-Month, Unlimited plan expires in 2 days. Log into your account at my.mintmobile.com or via our app to make a payment and keep your Mint service going.
",legitimate,1,0,0
"
Your Amazon Web Services (AWS) verification code is: 8250
",legitimate,0,0,0
"
Chase | Zelle(R): XIYU WANG sent you $20.00 & it's ready now. Reply STOP to cancel these texts. 
",legitimate,0,0,0
"We like your style. $75 has now been added to your account. It will be automatically applied to your next renewal on Oct 11, 2024.",legitimate,0,0,0
Company is very good.environment is terrific. All Good..,legitimate,0,0,0
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",legitimate,0,0,0
I'm working technical support :)voice process.networking field.,legitimate,0,0,0
Jay's getting really impatient and belligerent,legitimate,0,0,0
"
Great news! You have 2 Walmart packages out for delivery, and they should arrive today. Track: https://w-mt.co/g/cZc7NG. Reply HELP for info; STOP to opt out
",legitimate,1,0,0
"We're all getting worried over here, derek and taylor have already assumed the worst",legitimate,0,0,0
It's ok i wun b angry. Msg u aft i come home tonight.,legitimate,0,0,0
And popping &lt;#&gt; ibuprofens was no help.,legitimate,0,0,0
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,legitimate,0,0,0
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,legitimate,0,0,0
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",legitimate,0,0,0
"Ah, well that confuses things, doesn‘t it?",legitimate,0,0,0
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,legitimate,0,0,0
I'm in office now . I will call you  &lt;#&gt;  min:),legitimate,0,0,0
The battery is for mr adewale my uncle. Aka Egbon,legitimate,0,0,0
Have you always been saying welp?,legitimate,0,0,0
How many licks does it take to get to the center of a tootsie pop?,legitimate,0,0,0
Not directly behind... Abt 4 rows behind ü...,legitimate,0,0,0
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",legitimate,0,0,0
X2  &lt;#&gt; . Are you going to get that,legitimate,0,0,0
"Height of Confidence: All the Aeronautics professors were askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ That is confidence..",legitimate,0,0,0
No message..no response..what happend? Any issues?,legitimate,0,0,0
I sent them. Do you like?,legitimate,0,0,0
"Nah man, my car is meant to be crammed full of people",legitimate,0,0,0
My drive can only be read. I need to write,legitimate,0,0,0
Do you want bold 2 or bb torch,legitimate,0,0,0
I like to think there's always the possibility of being in a pub later.,legitimate,0,0,0
Yup n her fren lor. I'm meeting my fren at 730.,legitimate,0,0,0
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,legitimate,0,0,0
Loosu go to hospital. De dont let it careless.,legitimate,0,0,0
"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",legitimate,0,0,0
Call me when u're done...,legitimate,0,0,0
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,legitimate,0,0,0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones?",legitimate,0,0,0
"Oops I did have it,  &lt;#&gt; ?",legitimate,0,0,0
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams.. Life is empty without frnds..,legitimate,0,0,0
Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,legitimate,0,0,0
i cant talk to you now.i will call when i can.dont keep calling.,legitimate,0,0,0
Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx,legitimate,0,0,0
I dont. Can you send it to me. Plus how's mode.,legitimate,0,0,0
So lets make it saturday or monday as per convenience.,legitimate,0,0,0
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,legitimate,0,0,0
We are both fine. Thanks,legitimate,0,0,0
Lol no. Just trying to make your day a little more interesting,legitimate,0,0,0
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,legitimate,0,0,0
:-) yeah! Lol. Luckily i didn't have a starring role like you!,legitimate,0,0,0
You've always been the brainy one.,legitimate,0,0,0
Then dun wear jeans lor...,legitimate,0,0,0
What does the dance river do?,legitimate,0,0,0
Oops my phone died and I didn't even know. Yeah I like it better.,legitimate,0,0,0
I will be gentle princess! We will make sweet gentle love...,legitimate,0,0,0
Poor girl can't go one day lmao,legitimate,0,0,0
One small prestige problem now.,legitimate,0,0,0
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",legitimate,0,0,0
I‘m parked next to a MINI!!!! When are you coming in today do you think?,legitimate,0,0,0
A guy who gets used but is too dumb to realize it.,legitimate,0,0,0
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,legitimate,0,0,0
"I can. But it will tell quite long, cos i haven't finish my film yet...",legitimate,0,0,0
Need a coffee run tomo?Can't believe it's that time of week already,legitimate,0,0,0
Dear where you will be when i reach there,legitimate,0,0,0
"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",legitimate,0,0,0
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,legitimate,0,0,0
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",legitimate,0,0,0
No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,legitimate,0,0,0
I keep ten rs in my shelf:) buy two egg.,legitimate,0,0,0
Hey i will be late... i'm at amk. Need to drink tea or coffee,legitimate,0,0,0
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",legitimate,0,0,0
Where in abj are you serving. Are you staying with dad or alone.,legitimate,0,0,0
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),legitimate,0,0,0
Ugh my leg hurts. Musta overdid it on mon.,legitimate,0,0,0
Now got tv 2 watch meh? U no work today?,legitimate,0,0,0
Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,legitimate,0,0,0
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,legitimate,0,0,0
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",legitimate,0,0,0
Alright i have a new goal now,legitimate,0,0,0
"
Walmart: TAQU Waterproof 7 Suction... shipped. Track: https://w-mt.co/g/cgpT0H Reply HELP for info; STOP to opt out
",legitimate,1,0,0
Good evening! How are you?,legitimate,0,0,0
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,legitimate,0,0,0
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",legitimate,0,0,0
"I've got  &lt;#&gt; , any way I could pick up?",legitimate,0,0,0
Rajni....pls do me a favour. Pls convey my Birthday wishes to Nitya.,legitimate,0,0,0
Much better now thanks lol,legitimate,0,0,0
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,legitimate,0,0,0
"I'm back, lemme know when you're ready",legitimate,0,0,0
Already one guy loving you:-.,legitimate,0,0,0
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,legitimate,0,0,0
Actually getting ready to leave the house.,legitimate,0,0,0
Lol where do u come up with these ideas?,legitimate,0,0,0
Sorry completely forgot * will pop em round this week if your still here?,legitimate,0,0,0
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",legitimate,0,0,0
55 that's all? Guess that's easy enough,legitimate,0,0,0
I love to cuddle! I want to hold you in my strong arms right now...,legitimate,0,0,0
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),legitimate,0,0,0
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,legitimate,0,0,0
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,legitimate,0,0,0
I like dis sweater fr mango but no more my size already so irritating.,legitimate,0,0,0
"He will, you guys close?",legitimate,0,0,0
I have no idea where you are,legitimate,0,0,0
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,legitimate,0,0,0
Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?,legitimate,0,0,0
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,legitimate,0,0,0
"Sorry, I'll call later..lets meet later..",legitimate,0,0,0
Happy birthday... Wish u all the happiness in your life,legitimate,0,0,0
Ok lor thanx... Ü in school?,legitimate,0,0,0
Guess he wants alone time. We could just show up and watch when they do..,legitimate,0,0,0
All day working day:)except saturday and sunday..,legitimate,0,0,0
I dont want to hear anything,legitimate,0,0,0
"Aight, text me tonight and we'll see what's up",legitimate,0,0,0
"Aight, we'll head out in a few",legitimate,0,0,0
Double eviction this week - Spiral and Michael and good riddance to them!,legitimate,0,0,0
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,legitimate,0,0,0
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,legitimate,0,0,0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",legitimate,0,0,0
"
Your WhatsApp code: 957-128
You can also tap on this link to verify your phone: v.whatsapp.com/957128
Don't share this code with others
",legitimate,1,0,0
Wishing you and your family HAPPY NEW Year ..,legitimate,0,0,0
"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",legitimate,0,0,0
Haha i think i did too,legitimate,0,0,0
All done? All handed in? Celebrations in full swing yet?,legitimate,0,0,0
Pls call me da. What happen.,legitimate,0,0,0
But if she.s drinkin i'm ok.,legitimate,0,0,0
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. GOOD MORNING,legitimate,0,0,0
"Goodmorning, today i am late for 2hrs. Because of back pain.",legitimate,0,0,0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,legitimate,0,0,0
I dont have that much image in class.,legitimate,0,0,0
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",legitimate,0,0,0
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",legitimate,0,0,0
How abt making some of the pics bigger?,legitimate,0,0,0
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),legitimate,0,0,0
I dont have i shall buy one dear,legitimate,0,0,0
"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance",legitimate,0,0,0
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,legitimate,0,0,0
Msg me when rajini comes.,legitimate,0,0,0
1 in cbe. 2 in chennai.,legitimate,0,0,0
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,legitimate,0,0,0
If you r @ home then come down within 5 min,legitimate,0,0,0
No:-)i got rumour that you going to buy apartment in chennai:-),legitimate,0,0,0
Ok. But i finish at 6.,legitimate,0,0,0
Go where n buy? Juz buy when we get there lar.,legitimate,0,0,0
Aiyo please ü got time meh.,legitimate,0,0,0
U calling me right? Call my hand phone...,legitimate,0,0,0
Just come home. I don't want u to be miserable,legitimate,0,0,0
Whos this am in class:-),legitimate,0,0,0
What happened to you ? How come you never came back?,legitimate,0,0,0
"that would be good ?I'll phone you tomo lunchtime, shall I, to organise something?",legitimate,0,0,0
Where do you need to go to get it?,legitimate,0,0,0
You see the requirements please,legitimate,0,0,0
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",legitimate,0,0,0
"Dear John, please rememberto return your rented itemswithin 2 hours.
Please fill out this form if youhave any feedback: bit.ly!Feedb951
Thank you for renting with us!
-The Rental Company",legitimate,1,0,0
I am not having her number sir,legitimate,0,0,0
Great! How is the office today?,legitimate,0,0,0
Also where's the piece,legitimate,0,0,0
Do you work all this week ?,legitimate,0,0,0
Dun need to use dial up juz open da browser n surf...,legitimate,0,0,0
Enjoy urself tmr...,legitimate,0,0,0
K:)k.are you in college?,legitimate,0,0,0
"Better than bb. If he wont use it, his wife will or them doctor",legitimate,0,0,0
"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",legitimate,0,0,0
Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,legitimate,0,0,0
Hmmm.but you should give it on one day..,legitimate,0,0,0
Just wait till end of march when el nino gets himself. Oh.,legitimate,0,0,0
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",legitimate,0,0,0
Thats cool princess!,legitimate,0,0,0
"Yes..but they said its IT.,",legitimate,0,0,0
Good morning pookie pie! Lol hope I didn't wake u up,legitimate,0,0,0
EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,legitimate,0,0,0
That seems unnecessarily affectionate,legitimate,0,0,0
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,legitimate,0,0,0
"I'll get there at 3, unless you guys want me to come some time sooner",legitimate,0,0,0
He also knows about lunch menu only da. . I know,legitimate,0,0,0
"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",legitimate,0,0,0
Prabha..i'm soryda..realy..frm heart i'm sory,legitimate,0,0,0
"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",legitimate,0,0,0
"Omw back to tampa from west palm, you hear what happened?",legitimate,0,0,0
"Good! No, don‘t need any receipts—well done! (? Yes, please tell . What‘s her number, i could ring her",legitimate,0,0,0
Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time,legitimate,0,0,0
I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present.,legitimate,0,0,0
if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,legitimate,0,0,0
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",legitimate,0,0,0
Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,legitimate,0,0,0
Pls accept me for one day. Or am begging you change the number.,legitimate,0,0,0
Its  &lt;#&gt; k here oh. Should i send home for sale.,legitimate,0,0,0
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,legitimate,0,0,0
"A boy was late 2 home. His father: ""WELCOME""",legitimate,0,0,0
I will come with karnan car. Please wait till 6pm will directly goto doctor.,legitimate,0,0,0
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",legitimate,0,0,0
2mro i am not coming to gym machan. Goodnight.,legitimate,0,0,0
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!",legitimate,0,0,0
I've reached home finally...,legitimate,0,0,0
Once free call me sir.,legitimate,0,0,0
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,legitimate,0,0,0
2 laptop... I noe infra but too slow lar... I wan fast one,legitimate,0,0,0
I dunno until when... Lets go learn pilates...,legitimate,0,0,0
"If we hit it off, you can move in with me :)",legitimate,0,0,0
Good morning princess! Have a great day!,legitimate,0,0,0
Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,legitimate,0,0,0
I tagged MY friends that you seemed to count as YOUR friends.,legitimate,0,0,0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",legitimate,0,0,0
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,legitimate,0,0,0
I'm not sure if its still available though,legitimate,0,0,0
Reason is if the team budget is available at last they buy the unsold players for at base rate..,legitimate,0,0,0
Xy trying smth now. U eat already? We havent...,legitimate,0,0,0
Dude ive been seeing a lotta corvettes lately,legitimate,0,0,0
If you have belive me. Come to my home.,legitimate,0,0,0
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",legitimate,0,0,0
Ok ok take care. I can understand.,legitimate,0,0,0
I cant pick the phone right now. Call later,legitimate,0,0,0
Ok lor wat time ü finish?,legitimate,0,0,0
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",legitimate,0,0,0
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",legitimate,0,0,0
I can do that! I want to please you both inside and outside the bedroom...,legitimate,0,0,0
Hi Harish's rent has been transfred to ur Acnt.,legitimate,0,0,0
I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,legitimate,0,0,0
Went to pay rent. So i had to go to the bank to authorise the payment.,legitimate,0,0,0
Surely result will offer:),legitimate,0,0,0
"Maybe westshore or hyde park village, the place near my house?",legitimate,0,0,0
Yo sorry was in the shower sup,legitimate,0,0,0
Send me the new number,legitimate,0,0,0
Is that what time you want me to come?,legitimate,0,0,0
How much u trying to get?,legitimate,0,0,0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake?",legitimate,0,0,0
"Er  hello  things didn‘t quite go to plan ?is limping slowly home followed by aa and with exhaust hanging off""",legitimate,0,0,0
Hey what are you doing. Y no reply pa..,legitimate,0,0,0
At WHAT TIME should i come tomorrow,legitimate,0,0,0
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,legitimate,0,0,0
"Dizzamn, aight I'll ask my suitemates when I get back",legitimate,0,0,0
"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt...",legitimate,0,0,0
"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",legitimate,0,0,0
:( but your not here....,legitimate,0,0,0
Why de. You looking good only:-)..,legitimate,0,0,0
"Oh yes, why is it like torture watching england?",legitimate,0,0,0
Happy birthday... Be happy ..keep smiling...,legitimate,0,0,0
"
Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud
",legitimate,1,0,0
My sister got placed in birla soft da:-),legitimate,0,0,0
S:)but he had some luck.2 catches put down:),legitimate,0,0,0
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,legitimate,0,0,0
